,utterance,classes,prompt,bigscience/T0pp
182,what's the minimum age for opening an account?,"['opening account', 'minimum age', 'opening account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",opening account minimum age.. aoc
183,i would like an account for my children how do i go about doing this?,"['doing account', 'doing children']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",doing children doing account? i would rather choose this :)
184,can my children have their own account?,"['have account', 'own account', 'have account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",own account have account..?.
185,is it possible to open an account for my children?,"['open account', 'open children']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account open children??????????
186,do my kids have to be a certain age to use this service?,"['use service', 'certain age', 'use service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",certain age use service.. no if they're older than 14
187,how old do you have to be to be able to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. fm - how old do i have to be to open an account? xxxxx
188,is there an age limit?,"['age limit', ' limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",there is an age limit. if you are under age 16 you can not participate
189,what are the age requirements for opening an account?,"['opening account', 'age requirements', 'opening account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",opening account age requirements. the most suitable intent
190,will i be able to open an account for my daughter,"['open account', 'open daughter']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account open daughter. open bank of india
191,how old do i need to be to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. us dollar coin icon.
192,what age can sign up for services?,['sign services'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the minimum age to sign up for services is ten.
193,how old do my kids have to be to use your service?,"['use service', 'use service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i use service.. no children involved
194,what age do my kids need to be to use your service?,"['use service', 'use service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use service. age check - service
195,how old do my children need to be to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account... when are children old enough
196,how old does my kids need to be to open an account?,"['open account', 'old need', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","need, open account, kid.."
197,how young can someone be in order to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account. How Young can someone be in order to Open an Account?
198,what is the youngest someone can be to open an account?,"['open account', 'open account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",young person is the smallest age that is allowed to open an account.
199,how old does one have to be to have an account with the bank?,"['have account', 'have bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have bank. is most suitable intent based on the above utterance.
200,how do i get my pin unlocked?,['unlocked pin'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",unlocked pin. a computer security code used to unlock the master boot record of the operating system
201,where can i view my pin?,"['view pin', 'view pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",view pin... more options..
202,will you reinstate my pin?,"['reinstate pin', 'reinstate pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Pin my tongue between my teeth..
203,i accidentally blocked my pin how do i reset it?,"['reset pin', 'reset pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset pin. i accidentally blocked my pin how do & nbsp ;
204,how do i unblock my pin after entering it wrong too many times?,"['entering pin', 'many times', 'entering times']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",entering pin many times entering times..
205,i used the wrong ping too many times and now the account is blocked  how do i unblock?,"['used ping', 'many times', 'unblock account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i used the wrong ping too many times and now the account is blocked how do phn
206,i need help because i drunken blocked my card?,"['blocked card', 'blocked card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",blocked card.. get help - wikihow
207,how do i reset my pin i can't seem to use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card.. i can't seem to use my card.
208,when i put the wrong pin too much i got blocked so can you help me unblock my pin,"['unblock pin', 'wrong pin', 'unblock pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",wrong pin. java.lang.IllegalStateException: Cannot read property'serialNumber' of undefined
209,my pin was blocked how do i make it so i can use it?,"['use ', 'use pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use pin is the only choice that has a single step needed to take.
210,how many tries do i have to enter my pin before i'm blocked?,"['enter pin', 'many tries', 'blocked pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",blocked pin many tries???????
211,what should i do if i've tried to enter my pin too often?,"['enter pin', 'enter pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",enter pin? enter all four numbers at once.
212,i have exceeded the number of times i can try my pin,"['try pin', 'try pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",I have exceeded the number of times i can try my pin
213,how can i unblock a blocked pin number for my account?,"['unblock number', 'pin number', 'blocked number', 'blocked account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",blocked number. UNBLOCK A PINSUM - FAQ & ASSIST CENTER
214,what do i do if the bank machine won't accept my pin attempts anymore?,"['accept attempts', 'pin attempts', 'accept attempts']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept attempts pin attempts? 0.
215,can you unlock my pin? i think i entered the wrong pin too many times,"['entered pin', 'many times', 'entered times']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",many times entered pin entered many Times.
216,how do i deal with a blocked pin?,"['blocked pin', 'blocked pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",blocked pin?. <unk>block-pin-fingerprint ''
217,i attempted to use my card while i was intoxicated and i failed to input my pin and the machine kept my card how soon can i have it back?,"['have card', 'have card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have card reactivated. i attempted to use my card while... and u failed to input your pin and the machine kept your card how soon can.
